Time		Subtitle		Translation
00:15:10		 Chắc khẩu súng rơi ra khỏi túi tôi .  		
00:15:12		 Nó bảo tìm thấy khẩu súng   trên đầu tủ ở sòng đặt cược ,  		
00:15:15		 đã nạp đạn .  		
00:15:17		 Chắc tôi ... để quên lúc say rượu .  		
00:15:21		 Có lúc nào mày không say xỉn không ?  		
00:15:22		 Nghe này , dì Pol . Tôi xin lỗi .  		
00:15:25		 Tôi ... xin lỗi .  		
00:15:28		 Chúng ta sẽ cùng giữ kín chuyện này   nếu mày thề không vứt súng bừa bãi nữa .  		
00:15:36		 Nghe này , dì biết một mình   nuôi bốn đứa con thì khó thật ,  		
00:15:39		 nhưng việc của dì còn khó hơn .   Giờ thì đi thôi , ta trễ rồi .  		
00:15:43		 Phải .  		
00:15:45		 Tôi triệu tập cuộc họp nội bộ này   là vì có vài tin rất quan trọng .  		
00:15:49		 Scudboat và Lovelock vừa về   từ Belfast đêm qua .  		
00:15:53		 Họ tìm mua một con ngựa đực để phối giống .  		
00:15:56		 Họ đến một quán rượu   ở đường Shankhill hôm qua ,  		
00:15:59		 và trong quán có một gã cớm  		
00:16:03		 đang phát mấy tờ này .  		
00:16:07		 " Nếu bạn cao hơn một mét rưỡi   và biết đánh nhau , hãy đến Birmingham . "  		
00:16:12		 Họ đang tuyển đám Tin Lành Ai - len   để đến đây làm đặc vụ .  		
00:16:16		 - Để làm gì ?   - Để dọn dẹp thành phố , Ada .  		
00:16:19		 Gã đó là Chánh Thanh tra .  		
00:16:21		 Trong bốn năm qua ,   gã đã quét sạch IRA ra khỏi Belfast .  		
00:16:25		 Sao mày biết lắm thế ?  		
00:16:27		 Vì tôi moi tin từ đám cảnh sát   ăn tiền của chúng ta .  		
00:16:30		 Sao không nói cho tao biết ?  		
00:16:34		 Thì bây giờ tôi nói đây .  		
00:16:37		 Tại sao họ gửi hắn đến Birmingham ?  		
00:16:39		 Gần đây đã có vài cuộc biểu tình ở BSA ,  		
00:16:42		 và cả các xưởng Austin nữa .  		
00:16:44		 Giờ thì báo chí toàn viết về bạo loạn .  		
00:16:47		 Và cách mạng .  		
00:16:48		 BẠN CÓ THỂ THAM DỰ R. I. C  		
00:16:49		 Em cho là gã đang để ý đến đám Cộng sản .  		
00:16:51		 Nếu vậy gã sẽ để chúng ta yên , đúng không ?  		
00:16:53		 Đã có vài người Ai - len ở Green Lanes   rời bỏ Belfast vì muốn tránh gã .  		
00:16:58		 Mấy người Công giáo chống lại gã   đã mất tích sau một đêm .  		
00:17:01		 Ừ , nhưng ta đâu phải IRA.  		
00:17:02		 Chúng ta đấu tranh vì đức vua mà .  		
00:17:05		 Hơn nữa , ta là nhà Peaky Blinders .  		
00:17:07		 - Chúng ta đâu có sợ cớm .   - Nó nói đúng đó .  		
00:17:09		 Nếu bọn nó dám đụng đến chúng ta   thì chúng ta rạch miệng từng thằng .  		
00:17:12		 Arthur , có thật vậy không ?  		
00:17:15		 Dì nghĩ sao , dì Pol ?  		
00:17:17		 Nhà này làm gì cũng công khai mà .  		
00:17:20		 Cậu không muốn nói thêm gì hả , Thomas ?  		
00:17:23		 Không .  		
00:17:25		 Không có gì phải bàn với phụ nữ cả .  		
00:17:27		 Chuyện làm ăn trong nhà này đều do   phụ nữ lo hồi các cậu đi chinh chiến .  		
00:17:31		 Giờ cũng có khác gì đâu ?  		
00:17:34		 Giờ thì bọn tôi về rồi .  		
00:17:36		 Và Chúa sẽ trừng trị kẻ gian tà   khi sự phán xét vĩ đại diễn ra .  		
00:17:41		 Và sự phán xét sắp đến rồi , các bạn .  		
00:17:43		 Sự phán xét sẽ đến với   thành phố xấu xa này .  		
00:17:46		 Và sự tà ác và dâm loạn của các người  		
00:17:49		 sẽ bị phơi bày thôi .  		
00:17:51		 Các người không thể   trốn khỏi Đấng Tạo Hóa .  		
00:17:54		 Các người không thể   trốn khỏi Đấng toàn năng .  		
00:17:58		 Đấng Tạo Hóa nhìn thấy hết .  		
00:18:00		 Các người không thể trốn khỏi   Thiên Chúa hằng sống .  		
00:18:04		 Biến đi !  		
00:18:15		 Xéo đi !  		
00:18:28		 Cút đi !  		
00:18:30		 Rồi đấy , tôi không đi xa hơn đâu .  		
00:18:49		 Tôi có mười phút . Dì muốn gì ?  		
00:18:56		 Một lời giải thích .  		
00:19:02		 Dì luôn biết mỗi khi   cậu giấu giếm điều gì đó .  		
00:19:07		 Người ở đây lắm mồm lắm .  		
00:19:10		 Vài người trong số họ làm ở BSA.  		
00:19:12		 Dì có nói chuyện với vợ   của một số công nhân nhà máy .  		
00:19:15		 Vài thanh tra đã có   hỏi han ở chỗ phòng kiểm kê .  		
00:19:19		 Không có gì diễn ra ở cái nhà máy đó   mà cậu không biết .  		
00:19:24		 Nói đi .  		
00:19:26		 Chúa và Dì Polly đang lắng nghe cậu đấy .  		
00:19:38		 Lẽ ra đó chỉ là công việc thường lệ thôi .  		
00:19:42		 Cháu có một người khách ở London   muốn mua vài chiếc xe máy .  		
00:19:47		 Cháu cho người đi trộm bốn chiếc   loại động cơ xăng .  		
00:19:52		 Cháu đoán là bọn nó đã say khướt .  		
00:19:55		 Trong nhà máy có một cái máy   làm rượu Gin xoàng .  		
00:20:02		 Thế quái nào mà chúng nó   lại lấy nhầm kiện hàng .  		
00:20:06		 Rồi đem nó về để ở   khu của Charlie Strong như thoả thuận .  		
00:20:09		 Hẳn là chúng nó nhầm   ở bến kiểm kê thay vì bến xuất hàng .  		
00:20:19		 Ôi trời đất quỷ thần ơi !  		
00:20:22		 Trong thùng đó là 25 khẩu súng máy Lewis .  		
00:20:25		 Mười nghìn viên đạn .  		
00:20:28		 Năm mươi khẩu súng trường bán tự động .  		
00:20:30		 Hai trăm súng ngắn có đủ đạn .  		
00:20:33		 Lạy Chúa , Tommy !  		
00:20:35		 Tất cả vốn dĩ phải cập bến Libya .  		
00:20:38		 Nhưng giờ thì nằm cả   ở khu của Charlie Strong .  		
00:20:44		 Hãy nói là cậu đã vứt chúng dưới kênh đi .  		
00:20:47		 Bọn tôi đem để hết   ở chuồng ngựa để tránh mưa .  		
00:20:49		 Chỗ súng đó vẫn chưa được tra dầu .  		
00:20:56		 Vậy đó là lý do   họ điều gã cớm từ Belfast đến .  		
00:20:59		 Có lẽ vậy . Mà cũng có thể không .  		
00:21:03		 Thomas , cậu là một nhà cái ,  		
00:21:05		 một tay giang hồ ,   chứ không phải thằng ngu .  		
00:21:08		 Cậu mà bán chỗ súng đó   cho phe khác là cậu tàn đời .  		
00:21:17		 Đem vứt hết ở chỗ nào   mà cảnh sát sẽ tìm được ấy .  		
00:21:20		 Nếu họ biết rằng   súng chưa rơi vào tay kẻ khác ,  		
00:21:22		 chuyện này chắc sẽ được cho qua .  		
00:21:25		 - Bảo Charlie tối nay đem vứt đi .   - Không .  		
00:21:28		 Ông ta không chuyển lậu   trong đêm sáng trăng đâu .  		
00:21:31		 Còn ba ngày nữa trăng mới khuyết .  		
00:21:34		 Thì cậu sẽ làm việc nên làm à ?  		
00:21:38		 Cậu có sự sáng suốt của mẹ ,  		
00:21:41		 nhưng cũng có sự xấu xa của cha .  		
00:21:43		 Dì thấy hai bên đang giằng co đấy .  		
00:21:46		 Để mẹ cậu thắng đi .  		
00:22:37		 Em có vé xem phim ở Penny Crush đây .  		
00:22:39		 Đang có phim của Tom Mix đó .  		
00:22:42		 Giờ anh không có hứng xem phim đâu Ada .  		
00:22:44		 Thôi nào , em không làm ở đây nữa đâu .  		
00:22:46		 Lần trước người em lấm đầy bùn đất .  		
00:22:48		 Thôi cứ đi dạo chút nhé .  		
00:22:49		 Nếu đến được khu Greet ,   thì mình có thể ghé một quán rượu .  		
00:22:53		 Mấy ông anh của em có bạn ở Greet mà .  		
00:22:55		 Họ có bạn ở mọi nơi .   Thế thì ta phải đi đến London mất .  		
00:22:58		 Em theo anh là vì chỉ có anh   là không sợ gì họ thôi .  		
00:23:01		 Ồ , anh cũng có sợ họ chứ .  		
00:23:03		 Nhưng anh yêu em nhiều hơn   là anh sợ họ , phải không ?  		
00:23:07		 Em không muốn lúc nào cũng phải lén lút .  		
00:23:11		 - Ta sẽ công khai với họ sớm thôi .   - Khi nào chứ ?  		
00:23:17		 Cuộc họp nội bộ thế nào ?  		
00:23:22		 Như thường lệ thôi .  		
00:23:24		 - Có một gã cớm mới sắp đến .   - Anh có nghe .  		
00:23:26		 Ừ . Và Tommy nói là đang   nhắm đến đám bọn anh đấy .  		
00:23:30		 Nên có khi anh nên đốt hết sách vở   và ngưng diễn thuyết đi thì hơn .  		
00:23:34		 Ôi , Ada của anh .  		
00:23:36		 Cô công chúa độc tôn của gia đình   hoàng tộc trong vương quốc Small Heath .  		
00:23:41		 Anh chỉ là một chàng ếch Cộng sản   nghèo mạt to mồm thôi .  		
00:23:48		 Hôn anh đi nào , công chúa Ada .  		
00:24:33		 Tôi đến đây xin làm hầu bàn .  		
00:24:38		 - Cô điên à ?   - Gì chứ ?  		
00:24:41		 Cô có biết gì về chỗ này không ?  		
00:24:42		 Tôi biết qua một mẩu quảng cáo .  		
00:24:45		 Tuyển được người rồi .  		
00:24:46		 Nhưng mới đăng trên báo hôm qua mà .  		
00:24:48		 Tin tôi đi , cô bé , tôi đang cố giúp cô đó .  		
00:24:51		 Tôi không cần giúp , tôi cần việc .  		
00:24:57		 Cô  		
00:24:59		 hiền quá .  		
00:25:01		 - Sao ông biết ?   - Và xinh quá .  		
00:25:04		 Bọn nó sẽ hành cô chết mất thôi .  		
00:25:06		 Tôi có kinh nghiệm mà .  		
00:25:08		 Và cả thư giới thiệu nữa .  		
00:25:14		 Cô đến từ miền nào của Ai - len ?  		
00:25:16		 - Galway .   - À .  		
00:25:19		 Từng làm ở Dublin .  		
00:25:21		 Mẹ tôi là người ở Galway .  		
00:25:26		 - Tiếc là cô quá xinh .   - Xem đây .  		
00:25:30		 Và nghe này .  		
00:25:33		 Tôi ước mình đang ở  		
00:25:36		 Tại Carrickfergus  		
00:25:40		 Chỉ vài đêm thôi  		
00:25:43		 Tại Ballygrand  		
00:25:46		 Tôi sẽ bơi qua  		
00:25:49		 Đại dương sâu thẳm  		
00:25:53		 Đại dương sâu thẳm  		
00:25:55		 Để tìm kiếm  		
00:25:58		 Những người bạn thuở niên thiếu  		
00:26:01		 Và cả họ hàng thân thuộc  		
00:26:04		 Đều đã xa rời  		
00:26:07		 Như tuyết đã biến tan  		
00:26:15		 Lúc ở Ai - len ,  		
00:26:17		 tiếng hát của tôi   làm họ khóc và ngừng đánh nhau đấy .  		
00:26:21		 Tôi mong là cô biết hát nhiều bài .  		
00:27:12		 Những em bé  		
00:27:15		 bị vứt đi  		
00:27:17		 cùng với cả xương cá và vỏ trứng .  		
00:27:21		 Những bé gái ,  		
00:27:24		 mười một tuổi ,  		
00:27:27		 bị mấy lão già dày vò   với giá ba xu cho một lần ,  		
00:27:32		 bị đè ra như thú vật .  		
00:27:36		 Suy đồi .  		
00:27:39		 Cha với con gái ,  		
00:27:41		 anh chị em với nhau chung chạ .  		
00:27:44		 Ăn xin và cướp giật tung hoành phố xá .  		
00:27:48		 Và ngay trên cái đống xú uế đó  		
00:27:55		 là mấy ông chủ của các anh .  		
00:27:58		 Những người mà các anh phải cúi chào .  		
00:28:03		 Nhà Peaky Blinders .  		
00:28:07		 Băng đảng bạo tàn và vô nhân tính .  		
00:28:11		 Những kẻ sẽ đâm mù mắt   những người thấy quá nhiều ,  		
00:28:14		 và cắt lưỡi những ai bép xép .  		
00:28:18		 Các anh còn tệ hơn chúng .  		
00:28:24		 Những người trong các anh   đã từng ăn hối lộ từ thời chiến đến nay .  		
00:28:28		 Những người đã ngó lơ mọi chuyện ,  		
00:28:31		 các anh còn tệ hơn cả bọn chúng .  		
00:28:37		 Chúa nguyền rủa các anh vì   đã làm vấy bẩn bộ cảnh phục này !  		
00:28:43		 Và rồi ,  		
00:28:46		 còn cả phiến quân IRA  		
00:28:49		 và lũ Cộng sản .  		
00:28:51		 Những kẻ còn xấu xa hơn .  		
00:28:54		 Chúng kiếm ăn trên sự tha hóa này  		
00:28:58		 như dòi trên xác chết vậy !  		
00:29:01		 Và cũng như dòi khi trưởng thành ,  		
00:29:04		 chúng sẽ bay tứ tán như ruồi nhặng  		
00:29:07		 và truyền bá cái tư tưởng thối nát đó  		
00:29:09		 ra khắp quốc gia và cả thế giới .  		
00:29:13		 Những kẻ đó ...  		
00:29:16		 chính là kẻ thù của chúng ta .  		
00:29:19		 Một con quái thú ba đầu .  		
00:29:21		 Công việc của tôi  		
00:29:23		 là chặt từng cái đầu một ,   và thề có Chúa tôi sẽ làm vậy .  		
00:29:30		 Tôi không tin bất cứ ai trong các anh  		
00:29:33		 cho đến khi các anh   chiếm được lòng tin của tôi !  		
00:29:38		 Và để được vậy thì cũng sẽ vất vả đấy .  		
00:29:44		 Đây là những người mới   để giúp hàng ngũ các anh vững vàng hơn .  		
00:29:50		 Những người đàn ông chính trực   từ những gia đình kính sợ Chúa .  		
00:29:57		 Cuối buổi hôm nay ,  		
00:29:59		 họ sẽ nhận đồng phục và tuyên thệ .  		
00:30:01		 Và sáng sớm mai ,  		
00:30:04		 họ sẽ chính thức xuống đường .  		
00:30:09		 Cầu Chúa cứu rỗi   những kẻ dám cản mũi chúng ta .  		
00:30:17		 Xin thứ lỗi , ngài Shelby .  		
00:30:19		 - Được rồi .   - Tránh đường cho ngài Shelby nào .  		
00:30:22		 - Chào ngài Shelby .   - Lối này .  		
00:30:26		 Thấy chưa , các cô ?  		
00:30:28		 Khi đi cùng một người nhà Blinder ,  		
00:30:29		 các cô không cần phải xếp hàng .  		
00:30:35		 Được rồi ,  		
00:30:37		 tôi muốn hai cô phục vụ cho tôi trước khi   họ để cho lũ thường dân kia vào .  		
00:30:41		 Bắt đầu đi . Bỏ mũ xuống .  		
00:30:43		 Cái quái gì thế ?  		
00:30:45		 Mày là thằng quái nào thế ?  		
00:30:48		 Tao là Arthur Shelby đây !  		
00:31:14		 Arthur Shelby .  		
00:31:16		 Con chó đầu đàn  		
00:31:18		 của băng Peaky Blinders .  		
00:31:31		 Nhìn tao xem .  		
00:31:55		 Thằng khốn nạn !  		
00:32:01		 Đồng phục của mày đây hả ?  		
00:32:03		 Cũng đáng sợ đấy chứ .  		
00:32:06		 - Nó có súng không ?   - Không có súng .  		
00:32:08		 Giắt dao ở trong vớ .   Dùi cui trong lưng quần .  		
00:32:15		 Giờ thì , ngài Shelby ,  		
00:32:19		 Tôi muốn ngài xem đây giống như  		
00:32:21		 một buổi tự giới thiệu của tôi .  		
00:32:24		 Hiểu chứ ?  		
00:32:25		 Trên đời này ,  		
00:32:27		 điều duy nhất làm tôi hứng thú  		
00:32:30		 là sự thật .  		
00:32:33		 Vậy ,  		
00:32:36		 ngài biết gì về vụ cướp ?  		
00:32:39		 Vụ cướp nào ?  		
00:32:50		 Tôi sẽ hỏi lại lần nữa .  		
00:32:53		 Ngài biết gì  		
00:32:55		 về vụ cướp ?  		
00:32:56		 Tôi xin thề có Chúa ,  		
00:32:58		 tôi không hiểu ông đang nói gì cả .  		
00:33:00		 Vụ cướp quái quỷ nào chứ ?  		
00:33:14		 Sau 35 năm đối phó với lũ súc vật như mày ,  		
00:33:18		 tao ngửi mùi cũng đủ biết  		
00:33:21		 là mày có đang nói dối hay không .  		
00:33:24		 Tôi có nói dối quái gì đâu !  		
00:33:26		 Được chưa ? Tôi có nói dối cái quái gì đâu !  		
00:33:37		 Tao biết mà .  		
00:33:44		 Tao chả thấy có gì khả nghi   trong mắt mày cả .  		
00:33:48		 Và trong huyết quản của mày   cũng chẳng có nổi  		
00:33:52		 một tí ti ... lươn lẹo hay xảo trá .  		
00:33:57		 Nhưng mày phải hiểu điều này .  		
00:34:01		 Tao thừa sức  		
00:34:04		 bắt mày và cả cái gia đình cặn bã của mày  		
00:34:08		 phải phơi xác ngoài kênh   nội trong năm nay .  		
00:34:14		 Mặt khác ,  		
00:34:20		 chúng ta có thể giúp đỡ lẫn nhau .  		
00:34:35		 Ban ngày lúc nào cũng đông thế này hả ?  		
00:34:38		 Không . Mấy cậu này   định đến chỗ Thánh Andrews .  		
00:34:41		 - Để cầu nguyện hả ?   - Được vậy cũng mừng !  		
00:34:43		 Thánh Andrews là một sân bóng đá .   Đội Blues đang chơi ở đó .  		
00:34:46		 Đó là hàng tiền đạo còn kia là thủ môn ,   tin hay không tùy cô .  		
00:34:50		 Xin chào !  		
00:34:56		 Tôi cần một chai rượu rum .  		
00:34:58		 Grace ? Anh ta gọi cái gì   thì cái đó miễn phí .  		
00:35:00		 - Cả chai luôn hả ?   - Ừ .  		
00:35:02		 - Rum trắng hay đậm ?   - Cái nào cũng được .  		
00:35:04		 Được rồi , các cậu , hai ly hả ?  		
00:35:07		 Cảm ơn .  		
00:35:11		 Harry bảo là miễn phí .  		
00:35:15		 Cô là gái điếm hả ?  		
00:35:20		 Nếu không phải thì cô nhầm chỗ rồi .  		
00:35:29		 Hắn là một trong những gã   anh dặn tôi dè chừng .  		
00:35:31		 Nghe này , Grace , cô là người thân thiện ,   nhưng phải cẩn thận .  		
00:35:35		 Nếu tôi bảo là miễn phí thì đừng có   mở miệng nói gì với khách hết .  		
00:35:38		 Nếu họ đã muốn cô thì   không ai có thể làm gì được .  		
00:35:43		 Nhưng may cho cô là từ lúc trở về từ Pháp ,  		
00:35:45		 Tommy chẳng muốn cô nào cả .  		
00:35:47		 Gọi gì đấy ?  		
00:35:52		 - Lau máu trên mắt anh ấy đi .   - Em có quyền chỉ đạo hồi nào vậy ?  		
00:35:55		 Em là y tá được huấn luyện .  		
00:35:56		 Đừng có chọc tao cười ,  		
