Time		Subtitle		Translation
00:06:24		 Do you have permission from Billy Kimber to be fixing races, mm?   		Mày có được Billy Timber cho phép dàn xếp chưa? 
00:06:29		 What's got into you?   		Mày bị sao vậy? 
00:06:32		 You think we can take on the Chinese and Billy Kimber.   		Mày nghĩ chúng ta có thể đấu lại lũ Trung Quốc và Billy Timber. 
00:06:37		 - Billy's got a bloody army-- - I think, Arthur.   		- Billy có hẳn một binh đoàn... - Tôi biết mà, Arthur. 
00:06:42		 That's what I do.   		Đó là nghề của tôi mà. 
00:06:47		 I think.   		Tôi tính hết. 
00:06:49		 So that you don't have to.   		Để anh khỏi chĩa mũi vào. 
00:06:56		 There's news from Belfast.   		Mới có tin từ Belfast. 
00:07:03		 I'm calling a family council tonight at 8:00.   		Tao sẽ triệu tập một cuộc họp nội bộ tối nay lúc 8 giờ. 
00:07:06		 I want all of us there.   		Tao muốn tất cả phải có mặt. 
00:07:08		 You hear me?   		Mày nghe rõ chưa? 
00:07:10		 There's trouble coming.   		Rắc rối đến nơi rồi đây. 
00:07:12		 [train whistle blowing]   		THỦ LĨNH BĂNG PEAKY BLINDERS? 
00:08:11		 All right, shut up now. Shut up.   		Được rồi, im lặng nào. 
00:08:15		 Comrades, we're here today to take a vote on strike action.   		hôm nay chúng ta có mặt để bỏ phiếu về việc đình công. 
00:08:20		 [crowd] Yes!   		Đúng vậy! 
00:08:22		 But before we have a show of hands for that,   		Nhưng trước khi chúng ta biểu quyết, 
00:08:25		 let's have a show of hands from all those who fought in France.   		ai đã từng tham chiến ở Pháp thì hãy giơ tay. 
00:08:28		 All those who stood side by side with your comrades   		Ai đã từng kề vai sát cánh cùng đồng đội của mình 
00:08:31		 and watched your comrades fall.   		và nhìn họ ngã xuống. 
00:08:34		 Raise your hands.   		Hãy giơ tay lên. 
00:08:40		 The blood shed on Flanders Fields,   		Máu đã đổ trên những cánh đồng ở Flanders, 
00:08:43		 the sweat of your brows...   		mồ hôi thì đổ trên trán các bạn. 
00:08:46		 Who reaps the rewards?   		Rồi thì ai được thưởng? 
00:08:49		 - Is it you? - [crowd] No!   		- Các bạn hả? - Không! 
00:08:51		 - Is it your wives? - No!   		- Hay vợ các bạn? - Cũng không! 
00:08:53		 - Who, then, do they stand among us? - No!   		- Vậy thì ai, họ có ở đây không? - Không! 
00:08:56		 Or do they sit at home comfortable with a full belly   		Hay họ đang phè phỡn ở nhà với cái bụng no căng 
00:09:00		 while you scrape to find enough to put shoes on your children's feet!   		trong khi các bạn phải cóp nhặt từng đồng để lo cho con cái! 
00:09:05		 [crowd] Yes!   		Đúng rồi! 
00:09:06		 And what is the reward they offer you for your sacrifices made?   		Và phần thưởng họ dành cho sự hy sinh của các bạn là gì? 
00:09:10		 A fucking cut in your wages.   		Là một đợt cắt giảm tiền lương. 
00:09:13		 That is your reward.   		Đó là phần thưởng của các bạn. 
00:09:15		 Raise a hand, all those who want to strike.   		Những ai muốn đình công thì giơ tay lên. 
00:09:17		 [all] Yes!   		Đồng ý! 
00:10:12		 On the house, Mr. Shelby.   		Miễn phí, thưa ngài Shelby. 
00:10:35		 - I'll take a Mild. - [Harry] Right.   		- Cho một ly Mild. - Được rồi. 
00:10:56		 Cheers, Thomas, good health to you.   		Nâng ly nào, Thomas, 
00:11:06		 The crown of a prince.   		Mũ miện của một hoàng tử. 
00:11:11		 Soon to be king, I'd bet.   		Tôi cá cậu sẽ sớm lên ngôi vua thôi. 
00:11:13		 You don't bet.   		Anh đâu có cá cược gì. 
00:11:14		 No, but these past few days I've been speculating.   		Không, nhưng mấy ngày qua tôi cũng có suy đoán. 
00:11:21		 About what?   		Về chuyện gì? 
00:11:23		 One of my Union comrades has a sister   		Một chiến hữu của tôi có một cô em 
00:11:26		 who works in the telegraph office at the BSA factory.   		hiện đang làm trong văn phòng điện tín tại nhà máy của BSA. 
00:11:29		 She says, over the past week they've had messages coming up   		Cô ấy nói, mấy tuần qua đã có vài ba tin nhắn từ London đến mấy ông lớn 
00:11:32		 from London to the brass, from Winston Churchill himself.   		do Winston Churchill trực tiếp gửi. 
00:11:41		 Something about a robbery.   		Cái gì đó về một vụ cướp. 
00:11:43		 "A robbery of national significance," it said.   		"Một vụ cướp chấn động quốc gia", thư ghi như thế. 
00:11:49		 She found a list of names left on the telegraph machine.   		Cô ấy còn tìm thấy một danh sách sót lại trong máy điện tín. 
00:11:54		 And on that list was your name and my name together.   		Và trong đó có cả tên anh và tên tôi. 
00:12:00		 What kind of a list would have the name of a communist   		Danh sách gì mà có tên một gã Cộng sản và tên một gã nhà cái cá độ 
00:12:03		 and the name of a bookmaker side by side?   		nằm ngay cạnh nhau? 
00:12:09		 Perhaps it's a list of men who give false hope to the poor.   		Chắc là danh sách những gã giúp người nghèo ảo tưởng. 
00:12:14		 The only difference between you and me, Freddie,   		Điều khác biệt duy nhất giữa anh và tôi, Freddie, 
00:12:16		 is that sometimes my horses stand a chance of winning.   		thì ngựa của tôi còn có cơ hội thắng. 
00:12:28		 You know, there are days when I hear about the cuttings and beatings   		Có thời gian tôi nghe nhiều về mấy vụ đâm chém và ẩu đả đến mức tôi ước 
00:12:32		 that I really wish I'd let you take that bullet in France.   		giá như tôi cứ để anh lãnh viên đạn đó hồi ở Pháp. 
00:12:36		 Believe me, there are nights I wish you had.   		có những đêm tôi cũng ước như vậy đó. 
00:12:42		 Hey!   		Này! 
00:12:47		 - They're going to get me! - On three.   		- Chúng bắt tôi mất! - Đếm đến ba nhé. 
00:12:50		 - They are going to get me! - One, two, three, down!   		- Chúng bắt tôi mất! - Một, hai, ba, đè xuống! 
00:12:53		 - Breathe, Danny, breathe. - They're going to get me!   		- Thở đi, Danny, thở đi nào. - Chúng bắt tôi mất thôi! 
00:12:56		 They're going to get me!   		Chúng bắt tôi mất! 
00:12:58		 Danny. Danny. Danny, you're home.   		Danny, cậu về nhà rồi. 
00:13:01		 We're all home in England. You are not in France.   		Chúng ta đều về Anh cả rồi. Cậu không còn ở Pháp nữa. 
00:13:04		 You're not an artillery shell, Danny, you're a man.   		Cậu không phải là một quả đạn pháo, Danny, cậu là người. 
00:13:07		 Hey?   		Nghe không? 
00:13:08		 You're not a whiz-bang. You're a human being, Danny.   		Cậu không phải đạn súng cối. Cậu là một con người, Danny. 
00:13:12		 You're all right.   		Cậu ổn mà. 
00:13:16		 Up! Up!   		Đứng lên! 
00:13:22		 It's all right.   		Ổn rồi. 
00:13:28		 Ah! Hell!   		Ôi! Khỉ thật! 
00:13:30		 Did I do it again?   		Tôi lại bị thế nữa hả? 
00:13:32		 You did it again, Danny.   		Cậu lại bị thế nữa, Danny. 
00:13:37		 You got to stop doing this, man.   		Cậu phải cố kềm chế đi. 
00:13:40		 - It's all right. - Oh, God! Mr. Shelby, I'm sorry.   		- Ổn cả thôi. - Chúa ơi! Tôi xin lỗi, ngài Shelby. 
00:13:43		 It's all right. You go home to your wife now, Danny.   		Giờ thì về nhà với vợ đi, Danny. 
00:13:46		 Try and get all that smoke and mud out of your head, eh?   		Cố để đầu óc thoải mái đi, nhé? 
00:13:49		 Yes, Mr. Shelby. I'm sorry.   		Vâng, ngài Shelby. Tôi xin lỗi. 
00:13:53		 Go on.   		Thôi đi đi. 
00:13:58		 Mr. Shelby, you have to do something about him.   		Ngài Shelby, ngài phải làm việc với gã đó đi. 
00:14:01		 Damn right, Harry.   		Cậu nói phải lắm, Harry. 
00:14:02		 You pay the Peaky Blinders a lot of money for protection.   		Dù gì thì cậu cũng đã tốn không ít tiền bảo kê cho Peaky Blinders rồi. 
00:14:06		 You're the law around here now, Tommy, aren't you?   		Giờ cậu là luật pháp ở đây, đúng không Tommy? 
00:14:09		 Maybe you should put a bullet in Danny Whiz-Bang's head   		Có lẽ cậu nên ghim một viên vào đầu Danny Đạn Pháo đi, như họ làm với ngựa điên vậy. 
00:14:16		 Maybe you'll have to put a bullet in my head someday, too.   		Có thể một ngày cậu cũng phải ghim một viên vào đầu tôi thôi. 
00:14:29		 Bring the bill to the Peaky Blinders.   		Đem hóa đơn đến nhà Peaky Blinders. 
00:14:31		 We'll take care of it.   		Bọn tôi sẽ trả tiền bồi thường. 
00:14:52		 Look at the gun.   		Nhìn khẩu súng này xem. 
00:14:55		 You recognize it?   		Có nhận ra nó không? 
00:14:57		 Mmm.   		Ừ. 
00:15:00		 Get up off your ass, you umping pig.   		Đứng dậy đi, đồ con lợn. 
00:15:02		 Aunt Poll! What the fuck did you do that for?   		Dì Pol! Dì làm cái quái gì vậy? 
00:15:05		 Finn was playing with this, this afternoon by the Cut.   		Finn nghịch cái này chiều nay ở bờ kênh. 
00:15:07		 It was loaded. Nearly blew Ada's tits off.   		Nó đã được lên đạn. Suýt nữa là Ada lãnh đạn. 
00:15:11		 It must've fell out of my pocket.   		Chắc khẩu súng rơi ra khỏi túi tôi. 
00:15:12		 He said he found it on the sideboard   		Nó bảo tìm thấy khẩu súng trên đầu tủ ở sòng đặt cược, 
00:15:15		 of the betting shop, with bullets in it.   		đã nạp đạn. 
00:15:18		 I... I must have been drunk.   		Chắc tôi...để quên lúc say rượu. 
00:15:21		 When are you not drunk?   		Có lúc nào mày không say xỉn không? 
00:15:23		 Look, Aunt Pol. I'm sorry.   		Nghe này, dì Pol. Tôi xin lỗi. 
00:15:25		 I'm... I'm sorry.   		Tôi...xin lỗi. 
00:15:28		 Keep this between ourselves,   if you swear not to leave guns lying around.   		Chúng ta sẽ cùng giữ kín chuyện này nếu mày thề không vứt súng bừa bãi nữa. 
00:15:36		 Look, I know having four kids without a woman is hard,   		Nghe này, dì biết một mình nuôi bốn đứa con thì khó thật, 
00:15:40		 but my boot is harder. Now come on, we're late.   		nhưng việc của dì còn khó hơn. Giờ thì đi thôi, ta trễ rồi. 
00:15:43		 [Arthur] Right, I've called this family meeting   because I've got some very important news.   		Tôi triệu tập cuộc họp nội bộ này là vì có vài tin rất quan trọng. 
00:15:49		 Scud boat and Love lock got back from Belfast last night.   		Scudboat và Lovelock vừa về từ Belfast đêm qua. 
00:15:53		 They were buying a stallion to cover their mares.   		Họ tìm mua một con ngựa đực để phối giống. 
00:15:56		 They were in a pub on Shank hill Road yesterday   		Họ đến một quán rượu ở đường Shankhill hôm qua, 
00:15:59		 and in that pub there was a copper,   		và trong quán có một gã cớm 
00:16:03		 handing out these.   		đang phát mấy tờ này. 
00:16:07		 "If you're over five feet and can fight, come to Birmingham."   		"Nếu bạn cao hơn một mét rưỡi và biết đánh nhau, hãy đến Birmingham." 
00:16:12		 They're recruiting Protestant Irishmen to come over here as Specials.   		Họ đang tuyển đám Tin Lành Ai-len để đến đây làm đặc vụ. 
00:16:16		 - To do what? - [Thomas] To clean up the city, Ada.   		- Để làm gì? - Để dọn dẹp thành phố, Ada. 
00:16:19		 He's the Chief Inspector.   		Gã đó là Chánh Thanh tra. 
00:16:22		 The last four years he's been clearing the IRA out of Belfast.   		Trong bốn năm qua, gã đã quét sạch IRA ra khỏi Belfast. 
00:16:25		 How do you know so bloody much?   		Sao mày biết lắm thế? 
00:16:28		 'Cause I asked the coppers on our payroll.   		Vì tôi moi tin từ đám cảnh sát ăn tiền của chúng ta. 
00:16:30		 Why didn't you tell me?   		Sao không nói cho tao biết? 
00:16:34		 I'm telling you.   		Thì bây giờ tôi nói đây. 
00:16:37		 Why send him to Birmingham?   		Tại sao họ gửi hắn đến Birmingham? 
00:16:39		 There's been all these strikes at the BSA,   		Gần đây đã có vài cuộc biểu tình ở BSA, 
00:16:42		 and the Austin works lately.   		và cả các xưởng Austin nữa. 
00:16:44		 Now the papers are talking about sedition. And revolution.   		Giờ thì báo chí toàn viết về bạo loạn. 
00:16:49		 I reckon it's communists he's after.   		Em cho là gã đang để ý đến đám Cộng sản. 
00:16:51		 So this copper is gonna leave us alone, right?   		Nếu vậy gã sẽ để chúng ta yên, đúng không? 
00:16:54		 There are Irishmen in Green Lanes who left Belfast to get away from him.   		Đã có vài người Ai-len ở Green Lanes rời bỏ Belfast vì muốn tránh gã. 
00:16:58		 Catholic men who crossed him used to disappear.   		Mấy người Công giáo chống lại gã đã mất tích sau một đêm. 
00:17:01		 Yeah, but we ain't IRA. We bloody fought for the King.   		Chúng ta đấu tranh vì đức vua mà. 
00:17:05		 Anyway, we're Peaky Blinders.   		Hơn nữa, ta là nhà Peaky Blinders. 
00:17:07		 - We're not scared of coppers. - He's right.   		- Chúng ta đâu có sợ cớm. - Nó nói đúng đó. 
00:17:09		 If they come for us, we'll cut them a smile each.   		Nếu bọn nó dám đụng đến chúng ta thì chúng ta rạch miệng từng thằng. 
00:17:12		 So, Arthur, is that it?   		Arthur, có thật vậy không? 
00:17:15		 [Arthur] What do you think, Aunt Pol?   		Dì nghĩ sao, dì Pol? 
00:17:18		 This family does everything open.   		Nhà này làm gì cũng công khai mà. 
00:17:21		 You have nothing more to say to this meeting, Thomas?   		Cậu không muốn nói thêm gì hả, Thomas? 
00:17:23		 No.   		Không. 
00:17:25		 Nothing that's women's business.   		Không có gì phải bàn với phụ nữ cả. 
00:17:27		 This whole bloody enterprise was women's business   		Chuyện làm ăn trong nhà này đều do phụ nữ lo hồi các cậu đi chinh chiến. 
00:17:32		 What's changed?   		Giờ cũng có khác gì đâu? 
00:17:34		 We came back.   		Giờ thì bọn tôi về rồi. 
00:17:36		 And the Lord will smite the unholy when the great judgment comes.   		Và Chúa sẽ trừng trị kẻ gian tà khi sự phán xét vĩ đại diễn ra. 
00:17:41		 And judgment is coming, my friends.   		Và sự phán xét sắp đến rồi, các bạn. 
00:17:43		 Judgment is coming to this wicked city.   		Sự phán xét sẽ đến với thành phố xấu xa này. 
00:17:46		 And your wickedness and your fornication   		Và sự tà ác và dâm loạn của các người 
00:17:50		 will be revealed.   		sẽ bị phơi bày thôi. 
00:17:52		 You cannot hide from the Creator.   		Các người không thể trốn khỏi Đấng Tạo Hóa. 
00:17:54		 You cannot hide from the Almighty himself.   		Các người không thể trốn khỏi Đấng toàn năng. 
00:17:59		 The Creator sees all.   		Đấng Tạo Hóa nhìn thấy hết. 
00:18:01		 You cannot hide from the true and living God.   		Các người không thể trốn khỏi Thiên Chúa hằng sống. 
00:18:04		 [man] Get out of here!   		Biến đi! 
00:18:16		 Fuck off!   		Xéo đi! 
00:18:29		 [woman] Go away!   		Cút đi! 
00:18:30		 That's it, I don't go any further.   		Rồi đấy, tôi không đi xa hơn đâu. 
00:18:50		 I have ten minutes. What do you want?   		Tôi có mười phút. Dì muốn gì? 
00:18:57		 An explanation.   		Một lời giải thích. 
00:19:02		 I've always been able to tell when you're hiding something.   		Dì luôn biết mỗi khi cậu giấu giếm điều gì đó. 
00:19:07		 People round here talk.   		Người ở đây lắm mồm lắm. 
00:19:10		 Some of them work at the BSA.   		Vài người trong số họ làm ở BSA. 
00:19:12		 I've been talking to wives of factory hands.   		Dì có nói chuyện với vợ của một số công nhân nhà máy. 
00:19:15		 Detectives have been asking questions in the proofing shops.   		Vài thanh tra đã có hỏi han ở chỗ phòng kiểm kê. 
00:19:20		 Nothing happens in that factory without you knowing about it.   		Không có gì diễn ra ở cái nhà máy đó mà cậu không biết. 
00:19:24		 Speak.   		Nói đi. 
00:19:26		 God and Aunt Polly are listening.   		Chúa và Dì Polly đang lắng nghe cậu đấy. 
00:19:38		 It was meant to be routine.   		Lẽ ra đó chỉ là công việc thường lệ thôi. 
00:19:43		 I had a buyer in London for some motorcycles.   		Cháu có một người khách ở London muốn mua vài chiếc xe máy. 
00:19:47		 I asked my men to steal me four bikes with petrol engines.   		Cháu cho người đi trộm bốn chiếc loại động cơ xăng. 
00:19:53		 I'm guessing my men were drunk.   		Cháu đoán là bọn nó đã say khướt. 
00:19:55		 There's a still inside the factory makes tram line gin.   		Trong nhà máy có một cái máy làm rượu Gin xoàng. 
00:20:02		 They picked up the wrong fucking crate.   		Thế quái nào mà chúng nó lại lấy nhầm kiện hàng. 
00:20:06		 The boys dropped it to Charlie Strong's yard as agreed.   		Rồi đem nó về để ở khu của Charlie Strong như thoả thuận. 
00:20:10		 They must've taken it from the proofing bay instead of the export bay.   		Hẳn là chúng nó nhầm ở bến kiểm kê thay vì bến xuất hàng. 
00:20:20		 Holy sweet baby of Mary.   		Ôi trời đất quỷ thần ơi! 
00:20:22		 Inside we found 25 Lewis machine guns,   		Trong thùng đó là 25 khẩu súng máy Lewis. 
00:20:26		 10,000 rounds of ammunition,   		Mười nghìn viên đạn. 
00:20:28		 50 semi-automatic rifles,   		Năm mươi khẩu súng trường bán tự động. 
00:20:30		 200 pistols with shells.   		Hai trăm súng ngắn có đủ đạn. 
00:20:33		 [Polly] Jesus, Tommy.   		Lạy Chúa, Tommy! 
00:20:35		 All bound for Libya.   		Tất cả vốn dĩ phải cập bến Libya. 
00:20:38		 Sitting right there in Charlie Strong's yard.   		Nhưng giờ thì nằm cả ở khu của Charlie Strong. 
00:20:44		 Tell me you threw them in the Cut.   		Hãy nói là cậu đã vứt chúng dưới kênh đi. 
00:20:47		 We put them in the stables out of the rain.   		Bọn tôi đem để hết ở chuồng ngựa để tránh mưa. 
00:20:49		 The guns hadn't been greased yet.   		Chỗ súng đó vẫn chưa được tra dầu. 
00:20:56		 So that's why they sent a copper from Belfast.   		Vậy đó là lý do họ điều gã cớm từ Belfast đến. 
00:20:59		 Maybe. Maybe not.   		Có lẽ vậy. Mà cũng có thể không. 
00:21:03		 Thomas, you're a bookmaker,   		Thomas, cậu là một nhà cái, 
00:21:05		 a robber, a fighting man, you are not a fool.   		một tay giang hồ, chứ không phải thằng ngu. 
00:21:08		 You sell those guns to anyone who has use for them, you will hang.   		Cậu mà bán chỗ súng đó cho phe khác là cậu tàn đời. 
00:21:18		 Dump them somewhere the police can find them.   		Đem vứt hết ở chỗ nào mà cảnh sát sẽ tìm được ấy. 
00:21:20		 Maybe if they know they haven't fallen   		Nếu họ biết rằng súng chưa rơi vào tay kẻ khác, 
00:21:23		 into the wrong hands, this might blow over.   		chuyện này chắc sẽ được cho qua. 
00:21:25		 - Tell Charlie to dump them tonight. - No.   		- Bảo Charlie tối nay đem vứt đi. - Không. 
00:21:29		 He won't move contraband under a full moon.   		Ông ta không chuyển lậu trong đêm sáng trăng đâu. 
00:21:31		 Three days until it wanes.   		Còn ba ngày nữa trăng mới khuyết. 
00:21:34		 Then you'll do the right thing?   		Thì cậu sẽ làm việc nên làm à? 
00:21:39		 You have your mother's common sense,   		Cậu có sự sáng suốt của mẹ, 
00:21:41		 but your father's devilment.   		nhưng cũng có sự xấu xa của cha. 
00:21:44		 I see them fighting.   		Dì thấy hai bên đang giằng co đấy. 
00:21:46		 Let your mother win.   		Để mẹ cậu thắng đi. 
00:22:38		 I got tickets for the Penny Crush.   		Em có vé xem phim ở Penny Crush đây. 
00:22:40		 They're showing a Tom Mix picture.   		Đang có phim của Tom Mix đó. 
00:22:42		 I'm not in the mood for pictures, Ada.   		Giờ anh không có hứng xem phim đâu Ada. 
00:22:44		 Well, I'm not doing it here again.   		Thôi nào, em không làm ở đây nữa đâu. 
00:22:46		 I got covered in mud last time.   		Lần trước người em lấm đầy bùn đất. 
00:22:50		 If we go down as far as Greet, we could go to a pub.   		Nếu đến được khu Greet, thì mình có thể ghé một quán rượu. 
00:22:53		 Your brothers have friends in Greet.   		Mấy ông anh của em có bạn ở Greet mà. 
00:22:55		 Everywhere. We'd have to walk to London.   		Họ có bạn ở mọi nơi. Thế thì ta phải đi đến London mất. 
00:22:58		 You're the only man around here not scared of them.   		Em theo anh là vì chỉ có anh là không sợ gì họ thôi. 
00:23:01		 Oh, I'm scared of them all right.   		Ồ, anh cũng có sợ họ chứ. 
00:23:04		 But you love me more than you fear them, right?   		Nhưng anh yêu em nhiều hơn là anh sợ họ, phải không? 
00:23:08		 I don't want to be always sneaking about.   		Em không muốn lúc nào cũng phải lén lút. 
00:23:11		 - Soon, we'll tell them. - When?   		- Ta sẽ công khai với họ sớm thôi. - Khi nào chứ? 
00:23:18		 How did the family meeting go?   		Cuộc họp nội bộ thế nào? 
00:23:22		 Usual.   		Như thường lệ thôi. 
00:23:24		 - There's a new copper coming. - I heard.   		- Có một gã cớm mới sắp đến. - Anh có nghe. 
00:23:27		 Mmm. And Tommy says he's after the likes of you.   		Ừ. Và Tommy nói là đang nhắm đến đám bọn anh đấy. 
00:23:30		 So maybe you should burn your books and stop making speeches.   		Nên có khi anh nên đốt hết sách vở và ngưng diễn thuyết đi thì hơn. 
00:23:35		 Oh, my Ada.   		Ôi, Ada của anh. 
00:23:37		 The only princess of the royal family of the kingdom of Small Heath.   		Cô công chúa độc tôn của gia đình hoàng tộc trong vương quốc Small Heath. 
00:23:41		 I'm just a poor communist frog with a big mouth.   		Anh chỉ là một chàng ếch Cộng sản nghèo mạt to mồm thôi. 
00:23:48		 - Give me a kiss, Princess Ada. - [giggles]   		Hôn anh đi nào, công chúa Ada. 
00:24:34		 I'm here about the job as a barmaid.   		Tôi đến đây xin làm hầu bàn. 
00:24:38		 - Are you mad? - Am I what?   		- Cô điên à? - Gì chứ? 
00:24:41		 Do you know about this place?   		Cô có biết gì về chỗ này không? 
00:24:42		 I saw it in an advertisement.   		Tôi biết qua một mẩu quảng cáo. 
00:24:45		 Job's been filled.   		Tuyển được người rồi. 
00:24:46		 But it was in yesterday's paper.   		Nhưng mới đăng trên báo hôm qua mà. 
00:24:48		 Believe me, love, I'm doing you a favor.   		Tin tôi đi, cô bé, tôi đang cố giúp cô đó. 
00:24:51		 I'm not asking for favors, I'm asking for employment.   		Tôi không cần giúp, tôi cần việc. 
00:24:57		 You're too... nice.   		Cô 
00:25:01		 - How would you know? - Too pretty.   		- Sao ông biết? - Và xinh quá. 
00:25:04		 They'd have you up against a wall.   		Bọn nó sẽ hành cô chết mất thôi. 
00:25:06		 I have experience.   		Tôi có kinh nghiệm mà. 
00:25:08		 And references.   		Và cả thư giới thiệu nữa. 
00:25:14		 What part of Ireland are you from?   		Cô đến từ miền nào của Ai-len? 
00:25:17		 - Galway. - Ah.   		- Galway. - À. 
00:25:19		 I worked in Dublin.   		Từng làm ở Dublin. 
00:25:21		 My mother was from Galway.   		Mẹ tôi là người ở Galway. 
00:25:26		 - You are too pretty. - Watch.   		- Tiếc là cô quá xinh. - Xem đây. 
00:25:30		 And listen.   		Và nghe này. 
00:25:34		 ? I wish I was ?   		Tôi ước mình đang ở 
00:25:37		 ? In Carrickfergus ?   		Tại Carrickfergus 
00:25:41		 ? Only for nights ?   		Chỉ vài đêm thôi 
00:25:43		 ? In Ballygrand ?   		Tại Ballygrand 
00:25:46		 ? I would swim over ?   		Tôi sẽ bơi qua 
00:25:55		 ? For my love to find ?   		Để tìm kiếm 
00:25:59		 ? My boyhood friends ?   		Những người bạn thuở niên thiếu 
00:26:02		 ? And my own relations ?   		Và cả họ hàng thân thuộc 
00:26:05		 ? Have all passed on now ?   		Đều đã xa rời 
00:26:08		 ? Like the melting snow ?   		Như tuyết đã biến tan 
00:26:15		 In Ireland my singing made them cry and stopped them fighting.   		tiếng hát của tôi làm họ khóc và ngừng đánh nhau đấy. 
00:26:21		 I hope you know a lot of songs.   		Tôi mong là cô biết hát nhiều bài. 
00:27:13		 Babies.   		Những em bé 
00:27:15		 Discarded with the fish bones and eggshells.   		cùng với cả xương cá và vỏ trứng. 
00:27:22		 Girls.   		Những bé gái, 
00:27:24		 11 years old.   		mười một tuổi, 
00:27:27		 Pierced and punctured by old men for three pence a time.   		bị mấy lão già dày vò với giá ba xu cho một lần, 
00:27:33		 Rutted upon like animals.   		bị đè ra như thú vật. 
00:27:36		 Degradation.   		Suy đồi. 
00:27:39		 Fathers with their daughters,   		Cha với con gái, 
00:27:41		 brothers and sisters sharing beds.   		anh chị em với nhau chung chạ. 
00:27:44		 Beggars and thieves left to run in the streets.   		Ăn xin và cướp giật tung hoành phố xá. 
00:27:48		 And astride the whole stinking pile of wounds and rotten flesh,   		Và ngay trên cái đống xú uế đó 
00:27:56		 your masters.   		là mấy ông chủ của các anh. 
